Open,High,Low,Close,Volume,Dividends,Stock Splits
169.30036860607288,170.37890756324487,167.92223295444407,169.65988159179688,50558300,0.0,0.0
169.64989490386353,171.10790873595283,168.95083089432222,169.0706787109375,44838400,0.0,0.0
173.135155347243,175.79155587925112,172.86553204943687,173.26498413085938,68169400,0.0,0.0
173.0952254245227,174.75298060286988,169.76973409860494,170.0992889404297,65934800,0.0,0.0
169.35029821950587,172.47606337229135,168.88093363624031,169.0706787109375,50383100,0.0,0.0
172.27632387025395,173.18509490154895,170.65852309137927,172.79562377929688,94214900,0.0,0.0
186.39716669784414,186.74669869974952,182.41258111434803,183.13160705566406,163224100,0.0,0.0
182.1030149635848,183.95050001542788,180.17562120419342,181.46388244628906,78569700,0.0,0.0
183.2015043518014,184.6495372034914,181.07439990990315,182.15292358398438,77305800,0.0,0.0
182.60232902746063,182.82203224839753,181.20421623621485,182.4924774169922,45057100,0.0,0.0
182.31272011600538,184.4098817621062,181.86333268844692,184.32000732421875,48983000,0.0,0.0
184.89999389648438,185.08999633789062,182.1300048828125,183.0500030517578,50759500,0.25,0.0
185.44000244140625,187.10000610351562,184.6199951171875,186.27999877929688,72044800,0.0,0.0
187.50999450683594,188.3000030517578,186.2899932861328,187.42999267578125,52393600,0.0,0.0
187.91000366210938,190.64999389648438,187.3699951171875,189.72000122070312,70400000,0.0,0.0
190.47000122070312,191.10000610351562,189.66000366210938,189.83999633789062,52845200,0.0,0.0
189.50999450683594,190.80999755859375,189.17999267578125,189.8699951171875,41282900,0.0,0.0
189.3300018310547,191.9199981689453,189.00999450683594,191.0399932861328,44361300,0.0,0.0
191.08999633789062,192.72999572753906,190.9199981689453,192.35000610351562,42309400,0.0,0.0
192.27000427246094,192.82000732421875,190.27000427246094,190.89999389648438,34648500,0.0,0.0
190.97999572753906,191.0,186.6300048828125,186.8800048828125,51005900,0.0,0.0
188.82000732421875,190.5800018310547,188.0399932861328,189.97999572753906,36294600,0.0,0.0
